date,election,state,seat,ballot_order,name,candidate_uid,party,party_uid,votes,votes_perc,result,area_name,wasIncumbent
2020-09-26,SE-14,Sabah,N.54 Karamunting,2,Loo Mun Yew,22044,PCS,75,81,0.8359133126934984,lost_deposit,Karamunting,False
2020-09-26,SE-14,Sabah,N.54 Karamunting,3,Hiew Vun Zin,18602,WARISAN,74,5694,58.761609907120736,won,Karamunting,True
2020-09-26,SE-14,Sabah,N.54 Karamunting,4,Ha Cheun Hoo,22046,LDP,58,129,1.3312693498452013,lost_deposit,Karamunting,False
2020-09-26,SE-14,Sabah,N.54 Karamunting,5,Kong Nyuk Thou,22047,PBS,48,235,2.4251805985552117,lost_deposit,Karamunting,False
2020-09-26,SE-14,Sabah,N.54 Karamunting,6,Chew Kok Woh,22048,BN,25,3215,33.178534571723425,lost,Karamunting,False
2020-09-26,SE-14,Sabah,N.54 Karamunting,7,Lee Tiang  Yong @ Lee Chee Ui,22049,PPRS,77,30,0.30959752321981426,lost_deposit,Karamunting,False
2020-09-26,SE-14,Sabah,N.55 Elopura,1,Voo Min Gin,22050,PCS,75,167,1.130746834585957,lost_deposit,Elopura,False
2020-09-26,SE-14,Sabah,N.55 Elopura,2,Calvin Chong,22051,WARISAN,74,10871,73.60687927415532,won,Elopura,True
2020-09-26,SE-14,Sabah,N.55 Elopura,3,Chan Boon Thian,22052,BN,25,3188,21.585753944072042,lost,Elopura,False
2020-09-26,SE-14,Sabah,N.55 Elopura,4,Chong Thien Ming,22053,LDP,58,226,1.5302322432121336,lost_deposit,Elopura,False
2020-09-26,SE-14,Sabah,N.55 Elopura,5,Khairiah @ Siti Khairiah Binti S.Mohd,22054,USNO,15,224,1.5166903649536192,lost_deposit,Elopura,False
2020-09-26,SE-14,Sabah,N.55 Elopura,6,Pak Andi @ Mohd Saini,22055,PPRS,77,93,0.6296973390209222,lost_deposit,Elopura,False
2020-09-26,SE-14,Sabah,N.56 Tanjong Papat,1,Chung Yu Seng,22056,PCS,75,79,0.9105578607653297,lost_deposit,Tanjong Papat,False
2020-09-26,SE-14,Sabah,N.56 Tanjong Papat,2,Lam Jin Dak,22057,LDP,58,62,0.7146150299677271,lost_deposit,Tanjong Papat,False
2020-09-26,SE-14,Sabah,N.56 Tanjong Papat,3,Noraini Binti Sulong,22058,BEBAS,1,98,1.1295527893038266,lost_deposit,Tanjong Papat,False
